,Station Name,Province,Climate ID,StationId,Latitude (y),Longitude (x),Elevation (m),First Year,Last Year,Status,Null pourcent
219,RED LAKE,BRITISH COLUMBIA,1166658,1313,50.94,-120.8,1162.0,1974,2021,False,52.85266457680251
220,SILVER CREEK,BRITISH COLUMBIA,1167337,1327,50.55,-119.35,419.0,1989,2021,False,58.45350052246604
221,SUN PEAKS MOUNTAIN,BRITISH COLUMBIA,1168204,1338,50.9,-119.91,1847.42,1980,2022,False,77.11598746081505
222,VAVENBY,BRITISH COLUMBIA,1168520,1340,51.58,-119.78,445.0,1913,2023,True,1.9226750261233017
223,KAMLOOPS PRATT ROAD,BRITISH COLUMBIA,116C8P0,1216,50.63,-120.17,729.0,1986,2023,True,7.836990595611286
224,SALMON ARM CS,BRITISH COLUMBIA,116FRMN,6843,50.7,-119.29,350.5,1991,2023,True,6.206896551724138
225,SUN PEAKS LOWER,BRITISH COLUMBIA,116Q20D,11006,50.89,-119.88,1310.57,1994,2022,False,77.65935214211076
226,SUN PEAKS UPPER,BRITISH COLUMBIA,116QK0M,11005,50.9,-119.92,2055.0,1994,2022,False,77.13688610240335
227,GOLDEN A,BRITISH COLUMBIA,1173210,1364,51.3,-116.98,784.9,1902,2023,True,0.7105538140020898
228,GOLDEN A,BRITISH COLUMBIA,1173214,52980,51.3,-116.98,784.9,2014,2023,False,34.58725182863114
229,GOLDEN AIRPORT,BRITISH COLUMBIA,1173220,54318,51.3,-116.98,785.0,2015,2023,True,1.5464994775339602
230,MICA DAM,BRITISH COLUMBIA,1175122,1367,52.05,-118.59,579.1,1951,2023,True,16.927899686520377
231,REVELSTOKE A,BRITISH COLUMBIA,1176745,49492,50.97,-118.18,444.7,2011,2023,True,2.6541274817136884
232,REVELSTOKE AIRPORT AUTO,BRITISH COLUMBIA,1176755,49548,50.96,-118.18,444.7,2011,2023,True,0.9195402298850576
233,YOHO PARK,BRITISH COLUMBIA,11790J1,6844,51.44,-116.34,1602.0,1992,2023,True,15.402298850574711
234,YOHO NP OHARA LAKE,BRITISH COLUMBIA,117R00H,1347,51.36,-116.34,2024.6,1987,2021,False,96.92789968652038
235,CHETWYND A,BRITISH COLUMBIA,1181508,1400,55.69,-121.63,609.6,1982,2023,True,8.025078369905957
236,CHETWYND A,BRITISH COLUMBIA,1181513,52939,55.69,-121.63,609.3,2014,2023,False,34.37826541274817
237,DAWSON CREEK A,BRITISH COLUMBIA,1182289,48208,55.74,-120.18,654.7,2009,2023,True,4.472309299895507
238,FORT ST. JOHN A,BRITISH COLUMBIA,1183001,50837,56.24,-120.74,694.9,2012,2023,True,4.137931034482759
239,FORT ST JOHN AIRPORT,BRITISH COLUMBIA,1183002,55198,56.25,-120.75,695.0,2021,2023,False,37.387669801462906
240,MACKENZIE,BRITISH COLUMBIA,1184791,48870,55.3,-123.13,690.1,2010,2023,True,3.364681295715778
241,MACKENZIE AIRPORT AUTO,BRITISH COLUMBIA,1184793,51517,55.31,-123.14,694.0,2013,2023,True,3.8662486938349
242,PINK MOUNTAIN 3,BRITISH COLUMBIA,1186173,54818,56.94,-122.72,960.12,2019,2023,False,100.0
243,DEASE LAKE A,BRITISH COLUMBIA,1192341,49628,58.42,-130.03,802.8,2011,2023,True,1.6927899686520376
244,FORT NELSON A,BRITISH COLUMBIA,1192946,50819,58.84,-122.6,381.9,2012,2023,True,3.9080459770114944
245,FORT NELSON,BRITISH COLUMBIA,1192948,54098,58.84,-122.57,380.2,2015,2023,True,1.5047021943573669
246,DEASE LAKE (AUT),BRITISH COLUMBIA,119BLM0,6845,58.43,-130.03,800.67,1993,2023,True,1.6091954022988506
247,ATLIN,BRITISH COLUMBIA,1200560,1485,59.57,-133.7,673.6,1899,2021,False,72.03761755485894
248,PLEASANT CAMP,BRITISH COLUMBIA,1206197,1504,59.45,-136.37,274.3,1974,2022,False,65.64263322884013
249,BEAVER CREEK A,YUKON TERRITORY,2100155,53179,62.41,-140.87,649.5,2014,2023,False,34.12748171368861
250,BURWASH A,YUKON TERRITORY,2100181,49650,61.37,-139.04,805.3,2011,2023,True,2.7586206896551726
251,BURWASH AIRPORT AUTO,YUKON TERRITORY,2100184,51718,61.37,-139.02,807.0,2013,2023,True,5.788923719958203
252,CARMACKS CS,YUKON TERRITORY,2100301,27950,62.12,-136.19,542.9,1999,2023,True,3.1347962382445136
253,DAWSON CITY A,YUKON TERRITORY,2100407,53022,64.04,-139.13,370.3,2014,2023,False,34.54545454545455
254,FARO (AUT),YUKON TERRITORY,2100518,8964,62.21,-133.38,716.6,1992,2023,True,22.152560083594565
255,FARO A,YUKON TERRITORY,2100527,53025,62.21,-133.37,716.3,2014,2023,False,33.91849529780565
256,HAINES JUNCTION,YUKON TERRITORY,2100630,1556,60.77,-137.58,595.3,1944,2023,False,32.97805642633229
257,HERSCHEL ISLAND,YUKON TERRITORY,2100636,1560,69.57,-138.91,1.2,1974,2022,False,52.78996865203762
258,IVVAVIK NAT. PARK,YUKON TERRITORY,2100660,26869,69.16,-140.15,243.8,1995,2023,True,20.522466039707417
259,KOMAKUK BEACH,YUKON TERRITORY,2100682,10822,69.61,-140.2,13.2,1994,2023,False,59.414838035527694
260,MACMILLAN PASS,YUKON TERRITORY,2100693,27339,63.24,-130.04,1379.0,1998,2023,True,5.788923719958203
261,MARGARET LAKE,YUKON TERRITORY,2100697,27296,68.8,-140.85,568.0,1997,2023,False,43.61546499477534
262,MAYO A,YUKON TERRITORY,2100701,51426,63.62,-135.87,503.8,2013,2023,True,4.848484848484849
263,MAYO A,YUKON TERRITORY,2100702,54178,63.62,-135.87,503.8,2016,2023,False,34.12748171368861
264,OLD CROW RCS,YUKON TERRITORY,2100805,26894,67.57,-139.84,251.2,1994,2023,True,4.409613375130617
265,OLD CROW A,YUKON TERRITORY,2100807,53023,67.57,-139.84,250.2,2014,2023,False,34.42006269592476
266,OTTER FALLS NCPC,YUKON TERRITORY,2100840,1583,61.03,-137.05,829.7,1980,2023,True,18.557993730407524
267,PELLY RANCH FORT SELKIRK,YUKON TERRITORY,2100881,54601,62.82,-137.37,454.2,2020,2023,False,41.60919540229885
268,ROCK RIVER,YUKON TERRITORY,2100935,8979,66.98,-136.22,731.0,1994,2023,True,28.693834900731453
269,SHINGLE POINT A,YUKON TERRITORY,2100950,1596,68.95,-137.22,49.4,1957,2023,False,47.83699059561128
270,DAWSON,YUKON TERRITORY,2100LRP,10194,64.06,-139.13,370.0,1995,2023,True,1.943573667711599
271,TAKHINI RIVER RANCH,YUKON TERRITORY,2101095,1608,60.95,-135.57,671.0,1980,2021,False,75.42319749216301
272,TESLIN (AUT),YUKON TERRITORY,2101102,8985,60.17,-132.73,705.0,1992,2023,True,4.555903866248694
273,TESLIN A,YUKON TERRITORY,2101106,53027,60.17,-132.74,705.0,2014,2023,False,34.211076280041794
274,WATSON LAKE A,YUKON TERRITORY,2101201,53339,60.12,-128.82,687.3,2014,2023,True,25.89341692789969
275,WATSON LAKE A,YUKON TERRITORY,2101202,54198,60.12,-128.82,687.3,2016,2023,False,34.503657262277954
276,WATSON LAKE (AUT),YUKON TERRITORY,2101204,32293,60.12,-128.83,683.3,2002,2023,True,1.7345872518286312
277,WHITEHORSE A,YUKON TERRITORY,2101303,50842,60.71,-135.07,706.2,2012,2023,False,34.211076280041794
278,WHITEHORSE AUTO,YUKON TERRITORY,2101310,48168,60.73,-135.1,707.0,2009,2023,True,1.0031347962382446
279,AKLAVIK A,NORTHWEST TERRITORIES,2200105,52962,68.22,-135.01,6.4,2014,2023,False,34.62904911180773
280,CAPE PARRY A,NORTHWEST TERRITORIES,2200675,1633,70.17,-124.72,86.6,1956,2023,False,49.6760710553814
281,COLVILLE LAKE,NORTHWEST TERRITORIES,2200824,10867,67.02,-126.12,271.0,1994,2023,False,47.25182863113898
282,COLVILLE LAKE A,NORTHWEST TERRITORIES,2200827,52899,67.02,-126.13,274.0,2014,2023,True,10.553814002089863
283,DELINE CS,NORTHWEST TERRITORIES,2201022,27749,65.21,-123.43,212.8,1999,2023,True,1.5882967607105538
284,DELINE A,NORTHWEST TERRITORIES,2201023,52964,65.21,-123.44,214.3,2014,2023,False,34.33646812957158
285,DEADMEN VALLEY,NORTHWEST TERRITORIES,22010H0,31187,61.26,-124.47,283.0,2001,2023,False,36.426332288401255
286,DIAVIK DIAMOND MINE,NORTHWEST TERRITORIES,2201100,54678,64.49,-110.35,447.0,2020,2022,False,99.37304075235107
287,FORT GOOD HOPE A,NORTHWEST TERRITORIES,2201406,53580,66.24,-128.65,81.4,2015,2023,False,35.214211076280044
288,FORT GOOD HOPE CS,NORTHWEST TERRITORIES,2201450,27549,66.24,-128.64,81.7,1998,2023,True,0.2507836990595611
289,FORT LIARD,NORTHWEST TERRITORIES,2201579,10687,60.23,-123.47,213.4,1994,2023,True,2.1316614420062696
290,FORT LIARD A,NORTHWEST TERRITORIES,2201581,52965,60.24,-123.47,215.8,2014,2023,False,36.0919540229885
291,FORT MCPHERSON A,NORTHWEST TERRITORIES,2201606,52963,67.41,-134.86,35.4,2014,2023,False,34.461859979101355
292,TULITA A,NORTHWEST TERRITORIES,2201705,52967,64.91,-125.57,100.3,2014,2023,False,36.63531870428422
293,FORT PROVIDENCE,NORTHWEST TERRITORIES,2201799,10902,61.32,-117.6,161.5,1994,2023,False,37.4294670846395
294,FORT RELIANCE (AUT),NORTHWEST TERRITORIES,2201903,8935,62.71,-109.17,167.6,1994,2023,False,40.89864158829676
295,FORT RESOLUTION A,NORTHWEST TERRITORIES,2202010,53322,61.18,-113.69,160.6,2014,2023,False,35.214211076280044
296,FORT SIMPSON CLIMATE,NORTHWEST TERRITORIES,2202102,41944,61.76,-121.24,168.0,2003,2023,True,0.3970741901776384
297,FORT SIMPSON A,NORTHWEST TERRITORIES,2202103,52780,61.76,-121.24,169.5,2014,2023,True,18.91327063740857
298,FORT SIMPSON A,NORTHWEST TERRITORIES,2202104,54159,61.76,-121.24,169.5,2016,2023,False,34.67084639498433
299,FORT SMITH A,NORTHWEST TERRITORIES,2202201,53119,60.02,-111.96,205.1,2014,2023,True,19.080459770114945
300,FORT SMITH CLIMATE,NORTHWEST TERRITORIES,2202202,41884,60.03,-111.93,203.0,2003,2023,True,2.0062695924764893
301,FORT SMITH A,NORTHWEST TERRITORIES,2202203,54218,60.02,-111.96,205.1,2016,2023,False,34.67084639498433
302,HANBURY RIVER,NORTHWEST TERRITORIES,2202351,10897,63.6,-105.13,317.4,1994,2023,True,27.35632183908046
303,HAY RIVER A,NORTHWEST TERRITORIES,2202401,52600,60.84,-115.78,164.9,2014,2023,True,11.99582027168234
304,HAY RIVER CLIMATE,NORTHWEST TERRITORIES,2202402,41885,60.84,-115.78,164.0,2003,2023,True,0.5642633228840125
305,HAY RIVER A,NORTHWEST TERRITORIES,2202403,54140,60.84,-115.78,164.9,2016,2023,False,33.793103448275865
306,INNER WHALEBACKS,NORTHWEST TERRITORIES,2202560,10209,61.92,-113.73,165.2,1994,2023,True,21.67189132706374
307,INUVIK A,NORTHWEST TERRITORIES,2202571,51477,68.3,-133.48,67.7,2013,2023,False,35.172413793103445
308,INUVIK CLIMATE,NORTHWEST TERRITORIES,2202578,41883,68.32,-133.52,103.0,2003,2023,True,0.9404388714733544
309,KEATS POINT,NORTHWEST TERRITORIES,2202663,10825,69.67,-121.67,330.2,1998,2022,False,82.69592476489028
310,WHATI,NORTHWEST TERRITORIES,2202678,1674,63.13,-117.24,271.3,1974,2023,True,0.2507836990595611
311,LUTSELK'E A,NORTHWEST TERRITORIES,2202690,53508,62.42,-110.68,178.6,2015,2023,False,34.754440961337515
312,NICHOLSON PENINSULA 2,NORTHWEST TERRITORIES,2202751,54758,69.92,-128.97,87.9,2021,2023,False,72.07941483803553
313,NORMAN WELLS A,NORTHWEST TERRITORIES,2202801,50717,65.28,-126.8,72.5,2012,2023,True,1.1494252873563218
314,NORMAN WELLS CLIMATE,NORTHWEST TERRITORIES,2202810,43004,65.29,-126.75,93.6,2003,2023,True,9.174503657262278
315,PAULATUK A,NORTHWEST TERRITORIES,2203055,53420,69.36,-124.08,4.6,2015,2023,False,36.0919540229885
316,PAULATUK,NORTHWEST TERRITORIES,2203058,26986,69.36,-124.08,6.3,1994,2023,True,2.466039707419018
317,PELLY ISLAND,NORTHWEST TERRITORIES,2203095,10091,69.63,-135.44,17.0,1993,2023,False,47.12643678160919
318,RABBIT KETTLE,NORTHWEST TERRITORIES,2203342,26895,61.96,-127.21,618.0,1995,2023,False,51.38975966562174
319,GAMETI,NORTHWEST TERRITORIES,2203359,10926,64.11,-117.33,221.0,1994,2023,True,12.2675026123302
320,GAMETI A,NORTHWEST TERRITORIES,2203365,52966,64.12,-117.31,220.7,2014,2023,False,35.5067920585162
321,TUKTOYAKTUK A,NORTHWEST TERRITORIES,2203911,53582,69.43,-133.03,4.3,2015,2023,False,34.921630094043884
322,TUKTOYAKTUK,NORTHWEST TERRITORIES,2203914,26987,69.43,-133.02,4.6,1994,2023,True,23.782654127481717
323,TUKTUT NOGAIT,NORTHWEST TERRITORIES,2203918,27626,69.2,-122.36,551.6,1998,2023,False,36.59352142110762
324,WEKWEETI A,NORTHWEST TERRITORIES,2203980,50721,64.19,-114.08,368.2,2012,2023,True,0.9822361546499476
325,WRIGLEY A,NORTHWEST TERRITORIES,2204005,53601,63.21,-123.44,149.7,2015,2023,False,33.96029258098224
326,YELLOWKNIFE A,NORTHWEST TERRITORIES,2204101,51058,62.46,-114.44,205.7,2013,2023,True,1.7763845350052248
327,YELLOWKNIFE AIRPORT,NORTHWEST TERRITORIES,2204108,55358,62.47,-114.45,205.0,2022,2023,False,61.71368861024034
328,YELLOWKNIFE-HENDERSON,NORTHWEST TERRITORIES,2204110,45467,62.45,-114.38,200.0,2006,2021,False,71.38975966562174
329,YOHIN,NORTHWEST TERRITORIES,2204300,1635,61.24,-123.74,204.0,1957,2023,False,48.08777429467085
330,LIVERPOOL BAY,NORTHWEST TERRITORIES,220B68C,10823,69.6,-130.91,101.9,1992,2023,False,63.8871473354232
331,LITTLE CHICAGO,NORTHWEST TERRITORIES,220B6Q3,10760,67.18,-130.23,62.5,1993,2023,False,43.05120167189133
332,SAMBAA K'E,NORTHWEST TERRITORIES,220CQHR,10880,60.44,-121.24,498.0,1994,2023,True,0.6269592476489028
333,STORM HILLS,NORTHWEST TERRITORIES,220LQJJ,10824,68.91,-133.94,261.4,1993,2023,False,66.77115987460816
334,LINDBURG LANDING,NORTHWEST TERRITORIES,220N003,27608,61.13,-122.85,183.0,1998,2023,False,32.64367816091954
335,LOWER CARP LAKE,NORTHWEST TERRITORIES,220N004,27610,63.6,-113.86,373.4,1992,2022,False,92.85266457680252
336,TRAIL VALLEY,NORTHWEST TERRITORIES,220N005,27620,68.75,-133.5,85.0,1998,2023,True,21.58829676071056
337,ARVIAT A,NUNAVUT,2300427,50557,61.09,-94.07,10.4,2006,2023,True,15.966562173458726
338,BAKER LAKE CLIMATE,NUNAVUT,2300501,42583,64.32,-96.0,50.8,2004,2023,True,7.983281086729363
339,BAKER LAKE A,NUNAVUT,2300503,51417,64.3,-96.08,18.6,2013,2023,True,20.79414838035528
340,BAKER LAKE A,NUNAVUT,2300504,54138,64.3,-96.08,18.6,2016,2023,False,37.55485893416928
341,BATHURST INLET,NUNAVUT,2300551,50657,66.84,-108.01,5.0,2012,2023,True,18.934169278996865
342,BERNARD HARBOUR,NUNAVUT,2300556,54778,68.76,-114.94,61.5,2021,2023,False,65.68443051201672
343,CHESTERFIELD INLET A,NUNAVUT,2300710,52968,63.35,-90.73,9.8,2014,2023,False,35.98746081504702
344,KUGLUKTUK A,NUNAVUT,2300903,53335,67.82,-115.14,22.6,2014,2023,True,12.727272727272728
345,KUGLUKTUK CLIMATE,NUNAVUT,2300904,43003,67.82,-115.14,22.6,2004,2023,True,2.0480668756530824
346,KUGLUKTUK A,NUNAVUT,2300905,54158,67.82,-115.14,22.6,2016,2023,False,36.63531870428422
347,CORAL HARBOUR A,NUNAVUT,2301002,53421,64.19,-83.36,62.2,2015,2023,False,43.2183908045977
348,CORAL HARBOUR A,NUNAVUT,2301004,54220,64.19,-83.36,62.2,2016,2023,False,37.32497387669802
349,CORAL HARBOUR RCS,NUNAVUT,2301010,47347,64.18,-83.35,57.0,2014,2023,True,15.61128526645768
350,ENNADAI LAKE (AUT),NUNAVUT,2301102,7341,61.13,-100.88,353.1,1994,2023,True,21.10762800417973
351,ARVIAT CLIMATE,NUNAVUT,2301153,41576,61.1,-94.07,9.8,2004,2023,True,8.881922675026123
352,GJOA HAVEN A,NUNAVUT,2302337,51079,68.64,-95.85,46.9,2013,2023,True,3.113897596656217
353,GJOA HAVEN CLIMATE,NUNAVUT,2302340,41943,68.64,-95.85,42.3,2003,2023,True,5.663531870428422
354,HAT ISLAND,NUNAVUT,2302370,1716,68.32,-100.09,36.1,1959,2023,False,59.70741901776384
355,PELLY BAY,NUNAVUT,2303093,10847,68.44,-89.73,324.45,1994,2022,False,89.6760710553814
356,KUGAARUK CLIMATE,NUNAVUT,2303094,43006,68.54,-89.8,15.8,2004,2023,True,2.884012539184953
357,KUGAARUK A,NUNAVUT,2303095,53518,68.54,-89.81,15.5,2015,2023,False,34.33646812957158
358,RANKIN INLET A,NUNAVUT,2303405,51277,62.81,-92.11,32.3,2013,2023,True,7.042842215256008
359,ROBERTSON LAKE (AUT),NUNAVUT,2303610,7337,65.1,-102.43,243.7,1992,2023,False,30.804597701149422
360,SANIKILUAQ A,NUNAVUT,2303660,53336,56.54,-79.25,33.5,2014,2023,False,35.00522466039707
361,SANIKILUAQ,NUNAVUT,2303668,52658,56.54,-79.26,34.0,2014,2023,False,30.05224660397074
362,SHEPHERD BAY A,NUNAVUT,2303685,1723,68.82,-93.43,42.7,1957,2023,False,52.936259143155695
363,WHALE COVE A,NUNAVUT,2303990,52984,62.24,-92.6,12.2,2014,2023,False,35.75757575757576
364,CROKER RIVER,NUNAVUT,230J01Q,10826,69.28,-119.22,69.4,1993,2022,False,84.99477533960292
365,LUPIN CS,NUNAVUT,230N002,27376,65.76,-111.25,488.0,1997,2023,False,36.50992685475444
366,ALERT CLIMATE,NUNAVUT,2400305,42463,82.5,-62.33,65.4,2004,2023,True,2.466039707419018
367,ALERT UA,NUNAVUT,2400306,10744,82.5,-62.33,65.4,1997,2023,False,67.18913270637408
368,ARCTIC BAY,NUNAVUT,2400399,48973,73.01,-85.05,21.95,2011,2023,False,33.83490073145246
369,ARCTIC BAY CS,NUNAVUT,2400404,29517,72.99,-85.01,10.0,1999,2023,True,4.242424242424243
370,BRAY ISLAND,NUNAVUT,2400561,54779,69.22,-77.23,15.2,2021,2023,False,82.23615464994776
371,BREVOORT ISLAND,NUNAVUT,2400565,1735,63.34,-64.15,376.0,1959,2023,False,55.987460815047015
372,BROUGHTON ISLAND,NUNAVUT,2400570,1736,67.54,-63.79,584.4,1956,2022,False,77.26227795193313
373,QIKIQTARJUAQ CLIMATE,NUNAVUT,2400573,42803,67.55,-64.03,6.4,2005,2023,True,3.218390804597701
374,QIKIQTARJUAQ A,NUNAVUT,2400577,51218,67.55,-64.03,5.5,2013,2023,True,6.144200626959248
375,CAMBRIDGE BAY A,NUNAVUT,2400601,53512,69.11,-105.14,31.1,2015,2023,True,15.54858934169279
376,CAMBRIDGE BAY GSN,NUNAVUT,2400602,32233,69.11,-105.14,18.69,2002,2023,True,0.7105538140020898
377,CAMBRIDGE BAY A,NUNAVUT,2400603,54139,69.11,-105.14,31.1,2016,2023,False,34.921630094043884
378,KINNGAIT,NUNAVUT,2400636,43163,64.23,-76.53,50.0,2005,2023,True,3.3019853709508884
379,KINNGAIT AIRPORT,NUNAVUT,2400637,50328,64.23,-76.53,48.2,2012,2023,True,2.9885057471264367
380,CAPE DYER,NUNAVUT,2400650,1739,66.65,-61.38,725.1,1955,2023,False,66.26959247648902
381,CAPE HOOPER,NUNAVUT,2400660,1742,68.47,-66.8,390.1,1956,2022,False,89.38349007314524
382,CAPE LIVERPOOL,NUNAVUT,2400675,51618,73.67,-78.29,2.0,2013,2023,False,38.32810867293626
383,CAPE PEEL WEST,NUNAVUT,2400697,10828,69.04,-107.82,165.3,1993,2023,False,61.79728317659352
384,CLYDE RIVER CLIMATE,NUNAVUT,2400802,42244,70.48,-68.52,26.5,2004,2023,True,16.948798328108673
385,CLYDE RIVER A,NUNAVUT,2400804,51077,70.49,-68.52,26.5,2013,2023,True,11.703239289446186
386,DEWAR LAKES,NUNAVUT,2401030,1746,68.65,-71.17,526.7,1956,2023,False,57.11598746081504
387,EUREKA CLIMATE,NUNAVUT,2401199,50737,79.99,-85.93,10.0,2013,2023,True,1.128526645768025
388,EUREKA A,NUNAVUT,2401208,53599,79.99,-85.81,82.9,2016,2023,False,34.56635318704284
389,FORT ROSS,NUNAVUT,2402051,50658,72.02,-94.2,10.0,2012,2023,True,24.597701149425287
390,GATESHEAD ISLAND,NUNAVUT,2402332,49828,70.63,-100.27,20.0,2011,2023,False,45.66353187042842
391,GRISE FIORD CLIMATE,NUNAVUT,2402351,46568,76.42,-82.9,44.5,2007,2023,True,1.400208986415883
392,SANIRAJAK,NUNAVUT,2402353,42483,68.78,-81.24,8.2,2004,2023,True,9.529780564263325
393,SANIRAJAK AIRPORT,NUNAVUT,2402354,50498,68.78,-81.24,9.1,2012,2023,True,14.71264367816092
394,GRISE FIORD A,NUNAVUT,2402360,53514,76.43,-82.91,41.1,2015,2023,False,34.294670846394986
395,IGLOOLIK A,NUNAVUT,2402546,53333,69.36,-81.82,52.7,2015,2023,False,35.73667711598746
396,IQALUIT CLIMATE,NUNAVUT,2402592,42503,63.75,-68.54,33.5,2004,2023,True,9.905956112852666
397,IQALUIT A,NUNAVUT,2402596,52079,63.76,-68.56,33.5,2014,2023,False,36.426332288401255
398,ISACHSEN (AUT),NUNAVUT,2402604,10253,78.79,-103.55,58.0,1994,2023,False,52.288401253918494
399,KIMMIRUT A,NUNAVUT,2402673,53517,62.85,-69.88,51.5,2015,2023,False,39.60292580982236
400,LONGSTAFF BLUFF,NUNAVUT,2402684,1764,68.9,-75.14,160.8,1955,2023,False,67.23092998955067
401,PANGNIRTUNG,NUNAVUT,2403049,10721,66.14,-65.71,22.6,1994,2023,True,15.02612330198537
402,PANGNIRTUNG A,NUNAVUT,2403054,51217,66.15,-65.71,24.0,2013,2023,False,38.14002089864159
403,POND INLET CLIMATE,NUNAVUT,2403204,43223,72.69,-77.96,64.66,2004,2023,True,7.816091954022989
404,POND INLET A,NUNAVUT,2403206,51080,72.69,-77.97,61.6,2013,2023,True,1.943573667711599
405,REA POINT,NUNAVUT,2403450,1793,75.38,-105.72,15.0,1969,2023,False,57.72204806687565
406,NAUJAAT A,NUNAVUT,2403495,52983,66.52,-86.22,22.9,2014,2023,False,35.54858934169279
407,RESOLUTE BAY A,NUNAVUT,2403497,54199,74.72,-94.97,67.7,2016,2023,False,35.13061650992685
408,RESOLUTE BAY A,NUNAVUT,2403498,53060,74.72,-94.97,67.7,2014,2023,True,14.90073145245559
409,RESOLUTE CS,NUNAVUT,2403505,32150,74.72,-94.98,30.0,2002,2023,True,5.370950888192268
410,RESOLUTION ISLAND,NUNAVUT,2403602,1778,61.58,-64.65,368.5,1962,2022,False,81.2748171368861
411,ROWLEY ISLAND,NUNAVUT,2403625,1779,69.08,-79.03,41.0,1957,2023,False,55.90386624869383
412,STEFANSSON ISLAND,NUNAVUT,2403756,32148,73.77,-105.3,11.0,2002,2023,False,38.76698014629049
413,SVARTEVAEG,NUNAVUT,2403833,50659,81.16,-91.82,72.0,2012,2023,True,2.25705329153605
414,TALOYOAK A,NUNAVUT,2403855,53340,69.55,-93.58,27.4,2015,2023,False,47.56530825496343
415,TALOYOAK A,NUNAVUT,2403856,54219,69.55,-93.58,27.4,2016,2023,False,34.211076280041794
416,WAGER BAY (AUT),NUNAVUT,2403945,31167,65.88,-89.45,18.0,2001,2023,False,31.76593521421108
417,NANGMAGVIK LAKE,NORTHWEST TERRITORIES,2500440,27118,74.14,-119.99,32.0,1996,2023,False,64.17972831765935
418,CAPE PROVIDENCE,NORTHWEST TERRITORIES,2501419,53298,74.46,-112.16,12.0,2014,2023,False,61.00313479623824
419,ULUKHAKTOK A,NORTHWEST TERRITORIES,2502503,53329,70.76,-117.81,36.0,2014,2023,False,35.172413793103445
420,HOLMAN CS,NORTHWEST TERRITORIES,2502505,29715,70.76,-117.8,29.9,2000,2023,True,9.571577847439915
421,SACHS HARBOUR CLIMATE,NORTHWEST TERRITORIES,2503648,10076,71.99,-125.25,87.5,1994,2023,True,2.445141065830721
422,SACHS HARBOUR A,NORTHWEST TERRITORIES,2503649,53326,71.99,-125.24,86.3,2015,2023,False,34.67084639498433
423,THOMSEN RIVER,NORTHWEST TERRITORIES,2503886,10598,73.23,-119.54,41.5,1997,2023,True,26.583072100313483
424,MOULD BAY CS,NORTHWEST TERRITORIES,250M001,27324,76.24,-119.35,1.5,1997,2023,True,17.763845350052247
425,ABEE AGDM,ALBERTA,3010010,32232,54.28,-112.97,664.0,1990,2023,True,11.473354231974922
426,ALBERT HALL AGCM,ALBERTA,3010060,46127,53.11,-111.18,658.0,2007,2023,True,12.998955067920583
427,ALLIANCE AGCM,ALBERTA,3010162,46327,52.32,-111.78,737.0,2007,2023,True,6.332288401253919
428,ANDREW AGDM,ALBERTA,3010237,32253,53.92,-112.28,625.0,1998,2023,True,11.285266457680253
429,BELLSHILL AGCM,ALBERTA,3010650,46128,52.58,-111.47,721.0,2007,2023,True,21.33751306165099
430,BODO AGDM,ALBERTA,3010730,32149,52.12,-110.1,687.0,1995,2023,True,5.266457680250784
431,BRETON,ALBERTA,3010815,1825,53.17,-114.48,843.0,1961,2022,False,94.79623824451411
432,BRETON PLOTS,ALBERTA,3010816,10928,53.09,-114.44,851.5,1995,2023,True,6.269592476489027
433,BUSBY AGCM,ALBERTA,3010979,47068,53.93,-113.92,714.0,2008,2023,True,8.338557993730406
434,CADOGAN AGCM,ALBERTA,3010992,46470,52.33,-110.51,690.0,2007,2023,True,6.478578892371996
435,CAMROSE,ALBERTA,3011240,1839,53.05,-112.82,739.0,1946,2023,True,1.400208986415883
436,CONSORT AGDM,ALBERTA,3011815,32230,51.94,-110.71,772.0,2002,2023,True,9.467084639498433
437,CORONATION CLIMATE,ALBERTA,3011887,27212,52.07,-111.45,791.0,1996,2023,True,1.5673981191222568
438,CRESTOMERE AGCM,ALBERTA,3011892,47069,52.73,-113.9,855.0,2008,2023,True,9.174503657262278
439,DELBURNE AGCM,ALBERTA,3012050,46730,52.18,-113.18,889.0,2007,2023,True,11.849529780564264
440,DEWBERRY AGCM,ALBERTA,3012073,46731,53.66,-110.59,616.0,2007,2023,True,9.696969696969695
441,EDGERTON AGCM,ALBERTA,3012192,46129,52.78,-110.43,649.0,2007,2023,True,4.806687565308255
442,EDMONTON INTERNATIONAL CS,ALBERTA,3012206,27793,53.31,-113.61,715.0,1999,2023,True,7.210031347962382
443,EDMONTON BLATCHFORD,ALBERTA,3012209,27214,53.57,-113.52,671.0,1996,2023,True,5.1619644723093
444,EDMONTON NAMAO AWOS A,ALBERTA,3012212,30907,53.67,-113.47,687.93,2000,2022,False,54.98432601880878
445,EDMONTON INTL A,ALBERTA,3012216,50149,53.31,-113.58,723.3,2012,2023,True,0.3761755485893417
446,EDMONTON SOUTH CAMPUS,ALBERTA,3012220,53718,53.49,-113.54,670.0,2015,2023,True,9.717868338557992
447,EDMONTON VILLENEUVE A,ALBERTA,3012229,51758,53.67,-113.86,687.6,2013,2023,True,1.6300940438871474
448,EDMONTON STONY PLAIN,ALBERTA,301222F,1870,53.55,-114.11,766.3,1966,2023,True,8.150470219435736
